,report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,latitude,longitude,on_street_road_highway,street_address_number,from_intersection_of,geometry
14290,89144797,2019,2019-10-09 06:50,14.0,2,2,30.525925,-84.236581,THOMASVILLE RD,,FORSYTHE WAY,POINT (-84.236581 30.525925)
14291,89144798,2019,2019-10-09 07:42,14.0,2,2,30.432583,-84.283658,BRONOUGH ST,,BLOUNT ST,POINT (-84.283658 30.432583)
14293,89145848,2019,2019-11-14 12:52,14.0,2,3,30.446948,-84.264128,E TENNESSEE ST,,CULPEPPER DR,POINT (-84.264128 30.446948)
14295,89145846,2019,2019-11-14 18:45,14.0,2,3,30.447717,-84.313598,W TENNESSEE ST,1859,,POINT (-84.313598 30.447717)
14297,89143390,2019,2019-08-23 14:22,14.0,2,2,30.451341,-84.278053,N GADSDEN ST,,JOHNSTON ST,POINT (-84.278053 30.451341)
14298,89143396,2019,2019-08-23 19:25,14.0,2,3,30.430612,-84.245047,APALACHEE PKWY,,LINDA ANN DR,POINT (-84.245047 30.430612)
14299,89146479,2019,2019-12-10 08:46,14.0,2,5,30.463969,-84.285619,N M L KING JR BLVD,,W THARPE ST,POINT (-84.285619 30.463969)
14300,89146480,2019,2019-12-10 09:03,14.0,2,11,30.4413,-84.226655,CAPITAL CIR SE,,E PARK AVE,POINT (-84.22665499999999 30.4413)
14301,89146481,2019,2019-12-10 10:15,14.0,2,2,30.44465,-84.278338,N GADSDEN ST,,E TENNESSEE ST,POINT (-84.27833800000001 30.44465)
14302,89146488,2019,2019-12-10 15:00,14.0,2,2,30.48595,-84.27727,N MERIDIAN RD,,HENDERSON RD,POINT (-84.27727 30.48595)
14303,89143622,2019,2019-08-30 14:37,14.0,2,2,30.504281,-84.251327,THOMASVILLE RD,,TIMBER LANE RD,POINT (-84.251327 30.504281)
14304,89143626,2019,2019-08-30 20:40,14.0,2,2,30.435568,-84.261706,E LAFAYETTE ST,,S MAGNOLIA DR,POINT (-84.261706 30.435568)
14305,89143627,2019,2019-08-30 14:15,14.0,2,4,30.461316,-84.2248,MAHAN DR,,WEEMS RD,POINT (-84.2248 30.461316)
14306,89297881,2019,2019-08-22 18:40,14.0,2,2,30.499927,-84.277375,N MERIDIAN RD,,JOHN HANCOCK DR,POINT (-84.27737500000001 30.499927)
14307,89297882,2019,2019-08-22 16:20,14.0,2,4,30.461432,-84.21292,UNNAMED RD,,,POINT (-84.21292 30.461432)
14308,89297883,2019,2019-08-23 08:46,14.0,2,2,30.418434,-84.147786,TALLY ANN DR,,APALACHEE PKWY,POINT (-84.147786 30.418434)
14309,87844824,2019,2019-02-28 15:36,14.0,2,2,30.462424,-84.243173,MICCOSUKEE RD,,N BLAIR STONE RD,POINT (-84.243173 30.462424)
14310,89143617,2019,2019-08-30 17:15,14.0,2,2,30.441814,-84.317219,N OCALA RD,,CRABAPPLE DR,POINT (-84.31721899999999 30.441814)
14311,87844825,2019,2019-02-28 17:42,14.0,2,3,30.427753,-84.221883,APALACHEE PKWY,,CAY LN,POINT (-84.22188300000001 30.427753)
14312,87844826,2019,2019-02-28 17:18,14.0,2,2,30.438373,-84.280699,S MONROE ST,,APALACHEE PKWY,POINT (-84.280699 30.438373)
14313,89143618,2019,2019-08-30 16:49,14.0,2,3,30.463476,-84.313794,W THARPE ST,,HIGH RD,POINT (-84.313794 30.463476)
14314,89297870,2019,2019-08-20 20:12,14.0,2,3,30.3848,-84.288216,CRAWFORDVILLE RD,,CRAWFORDVILLE TRCE,POINT (-84.28821600000001 30.3848)
14315,89142540,2019,2019-07-18 12:00,14.0,2,3,30.471335,-84.291576,MONTICELLO DR,,N MONROE ST,POINT (-84.29157600000001 30.471335)
14316,89142725,2019,2019-07-26 13:17,14.0,2,3,30.444931,-84.279627,N CALHOUN ST,,E TENNESSEE ST,POINT (-84.279627 30.444931)
14317,89297848,2019,2019-08-16 07:31,14.0,2,2,30.473259,-84.362829,CAPITAL CIR NW,,BRITTANY BLVD,POINT (-84.362829 30.473259)
14318,89297849,2019,2019-08-15 14:20,14.0,2,2,30.460665,-84.315505,W THARPE ST.,1717,,POINT (-84.315505 30.460665)
14319,89297850,2019,2019-08-16 09:10,14.0,2,2,30.486205,-84.151997,APEX DR,1600,,POINT (-84.15199699999999 30.486205)
14320,89142519,2019,2019-07-17 08:15,14.0,2,2,30.476526,-84.297537,N MONROE ST,,BALSAM TER,POINT (-84.29753700000001 30.476526)
14321,89142528,2019,2019-07-17 20:07,14.0,2,3,30.477618,-84.236735,NE CAPITAL CIR,1990,,POINT (-84.236735 30.477618)
14322,85567869,2019,2019-04-02 00:20,14.0,2,2,30.48144,-84.31368,INTERSTATE 10 (STATE ROAD 8),,STATE ROAD 63 (MONROE STREET),POINT (-84.31368000000001 30.48144)
14323,89143913,2019,2019-09-09 19:18,14.0,2,3,30.454561,-84.309352,ARIZONA ST,,CALIFORNIA ST,POINT (-84.309352 30.454561)
14324,89143935,2019,2019-09-10 17:51,14.0,2,3,30.480209,-84.302582,LAKESHORE DR,,N MONROE ST,POINT (-84.302582 30.480209)
14325,87844736,2019,2019-02-25 16:30,14.0,2,2,30.444677,-84.283269,W TENNESSEE ST,,N DUVAL ST,POINT (-84.283269 30.444677)
14326,87844737,2019,2019-02-25 17:30,14.0,2,4,30.458384,-84.227773,CAPITAL CIR NE,,ELIZA RD,POINT (-84.227773 30.458384)
14327,87844738,2019,2019-02-25 18:30,14.0,2,2,30.459841,-84.22786,CAPITAL CIR NE,,MAHAN DR,POINT (-84.22786000000001 30.459841)
14328,87844740,2019,2019-02-25 17:18,14.0,2,4,30.479999,-84.302297,N MONROE ST,,LAKESHORE DR,POINT (-84.302297 30.479999)
14329,87844743,2019,2019-02-25 17:17,14.0,3,8,30.455538,-84.262357,MICCOSUKEE RD,,N MAGNOLIA DR,POINT (-84.26235699999999 30.455538)
14330,87844440,2019,2019-02-13 17:20,14.0,2,3,30.437611,-84.299186,W SAINT AUGUSTINE ST,,WALKER ST,POINT (-84.29918600000001 30.437611)
14331,87844458,2019,2019-02-13 23:07,14.0,2,3,30.479941,-84.302128,N MONROE ST,,LAKESHORE DR,POINT (-84.302128 30.479941)
14332,89143189,2019,2019-08-14 21:46,14.0,2,2,30.414964,-84.28067,S MONROE ST,,POLK DR,POINT (-84.28067 30.414964)
14333,89143258,2019,2019-08-18 10:50,14.0,2,3,30.398392,-84.280115,S MONROE ST,,GAILE AVE,POINT (-84.280115 30.398392)
14334,89146476,2019,2019-12-09 14:27,14.0,2,3,30.481277,-84.236727,CAPITAL CIR NE,,MILL CREEK LN,POINT (-84.236727 30.481277)
14335,89146477,2019,2019-12-10 07:30,14.0,2,4,30.518925,-84.240109,THOMASVILLE RD,,THIRLESTANE RD,POINT (-84.240109 30.518925)
14336,89146478,2019,2019-12-10 08:10,14.0,2,2,30.45222,-84.337793,APPLEYARD DR,,W TENNESSEE ST,POINT (-84.337793 30.45222)
14337,89143704,2019,2019-09-03 00:00,14.0,2,3,30.438701,-84.289295,S MACOMB ST,,W PENSACOLA ST,POINT (-84.289295 30.438701)
14338,89143705,2019,2019-09-03 09:49,14.0,2,3,30.440379,-84.279569,S CALHOUN ST,,E COLLEGE AVE,POINT (-84.279569 30.440379)
14339,89143709,2019,2019-09-03 08:39,14.0,3,3,30.509324,-84.248089,THOMASVILLE RD,,10TH AVE W,POINT (-84.24808899999999 30.509324)
14340,89143710,2019,2019-09-03 11:28,14.0,2,2,30.458809,-84.235538,MAHAN CENTER BLVD,,MITCHAM DR,POINT (-84.23553800000001 30.458809)
14341,89144525,2019,2019-10-01 14:45,14.0,2,2,30.544754,-84.228931,THOMASVILLE RD,5500,,POINT (-84.228931 30.544754)
14342,88074476,2019,2019-04-08 07:25,14.0,3,6,30.30687,-84.24595,STATE ROAD 363,,LARCHMONT LANE,POINT (-84.24594999999999 30.30687)
14343,89298158,2019,2019-10-09 07:15,14.0,2,2,30.492872,-84.324378,TALPECO RD,,N MONROE ST,POINT (-84.324378 30.492872)
14344,88060381,2019,2019-10-13 15:20,14.0,2,2,30.4222934637217,-84.118579856753,WB US 27 (APALACHEE PARKWAY),,W.W. KELLY ROAD,POINT (-84.118579856753 30.4222934637217)
14345,89142112,2019,2019-06-29 07:45,14.0,2,3,30.452589,-84.227835,INDUSTRIAL PLAZA DR,,CAPITAL CIR NE,POINT (-84.227835 30.452589)
14346,89142114,2019,2019-06-29 11:45,14.0,2,3,30.470442,-84.292491,MONTICELLO DR,,BOONE BLVD,POINT (-84.292491 30.470442)
14347,89144549,2019,2019-10-01 21:30,14.0,3,4,30.435461,-84.281589,E GAINES ST,,S ADAMS ST,POINT (-84.281589 30.435461)
14349,89143936,2019,2019-09-10 18:46,14.0,2,2,30.441471,-84.325905,WHITE DR,,ESCAMBIA DR,POINT (-84.32590500000001 30.441471)
14350,89143937,2019,2019-09-10 18:16,14.0,2,2,30.458115,-84.295872,OLD BAINBRIDGE RD,,VOLUSIA ST,POINT (-84.295872 30.458115)
14351,87843663,2019,2019-01-16 12:00,14.0,2,2,30.432999,-84.226778,CAPITAL CIR SE,,GOVERNORS COURT DR,POINT (-84.226778 30.432999)
14352,89297610,2019,2019-05-23 07:00,14.0,2,2,30.561666,-84.218221,BANNERMAN RD,,THOMASVILLE RD,POINT (-84.218221 30.561666)
14353,89142539,2019,2019-07-18 12:30,14.0,2,2,30.466932,-84.304081,OLD BAINBRIDGE RD,,MULBERRY BLVD,POINT (-84.304081 30.466932)
14354,89141643,2019,2019-06-09 14:07,14.0,2,2,30.461327,-84.285034,N DUVAL ST,,W 10TH AVE,POINT (-84.285034 30.461327)
14355,89141655,2019,2019-06-11 11:54,14.0,2,2,30.441025,-84.325959,W PENSACOLA ST,,WHITE DR,POINT (-84.325959 30.441025)
14356,89141657,2019,2019-06-10 08:16,14.0,3,3,30.421841,-84.28202,S ADAMS ST,,W OSCEOLA ST,POINT (-84.28202 30.421841)
14357,89141192,2019,2019-05-18 18:50,14.0,2,3,30.435437,-84.284385,S BRONOUGH ST,,W GAINES ST,POINT (-84.284385 30.435437)
14358,89141252,2019,2019-01-18 22:18,14.0,2,3,30.50039,-84.247489,CAPITAL CIR NE,,RAYMOND DIEHL RD,POINT (-84.247489 30.50039)
14359,89141282,2019,2019-05-23 16:38,14.0,2,4,30.4592,-84.280903,N MONROE ST,,E 8TH AVE,POINT (-84.280903 30.4592)
14360,89141284,2019,2019-05-23 17:31,14.0,2,2,30.474726,-84.234758,CAPITAL CIR NE,,CARE DR,POINT (-84.234758 30.474726)
14361,89141300,2019,2019-05-24 10:24,14.0,2,3,30.444253,-84.272607,N FRANKLIN BLVD,,E TENNESSEE ST,POINT (-84.27260699999999 30.444253)
14362,89141249,2019,2019-05-21 20:02,14.0,2,2,30.438118,-84.280618,S MONROE ST,,,POINT (-84.280618 30.438118)
14363,89141250,2019,2019-05-21 17:22,14.0,2,3,30.425622,-84.249458,BLAIR STONE RD,,BLAIRSTONE PINES DR,POINT (-84.249458 30.425622)
14364,89141254,2019,2019-05-22 09:14,14.0,2,2,30.457908,-84.280793,E 7TH AVE,,N MONROE ST,POINT (-84.280793 30.457908)
14365,89141266,2019,2019-05-22 16:25,14.0,4,4,30.442095,-84.22665,CAPITAL CIR NE,,CAPITAL PARK DR,POINT (-84.22665000000001 30.442095)
14366,89141242,2019,2019-05-21 15:57,14.0,2,3,30.452171,-84.268631,HILLCREST ST,,MICCOSUKEE RD,POINT (-84.268631 30.452171)
14367,89141245,2019,2019-05-21 17:10,14.0,2,2,30.420837,-84.282033,S ADAMS ST,,LINCOLN ST,POINT (-84.282033 30.420837)
14368,89141247,2019,2019-05-21 17:24,14.0,2,2,30.456851,-84.236769,MAHAN DR,,RIGGINS RD,POINT (-84.236769 30.456851)
14371,89140860,2019,2019-05-05 14:50,14.0,2,2,30.478826,-84.362871,RAMP FROM CAPITAL CIR NW TO I-10 E,,CAPITAL CIR NW,POINT (-84.362871 30.478826)
14372,89141043,2019,2019-05-13 17:16,14.0,2,2,30.48058,-84.344473,N MISSION RD,,GEARHART RD,POINT (-84.34447299999999 30.48058)
14373,88109717,2019,2019-08-24 01:00,14.0,2,2,30.46971,-84.40276,US HIGHWAY 90 (STATE ROAD 10),,GEDDIE ROAD,POINT (-84.40276 30.46971)
14374,89142435,2019,2019-07-13 02:54,14.0,2,2,30.457702,-84.295636,OLD BAINBRIDGE RD,,W 7TH AVE,POINT (-84.295636 30.457702)
14375,88109703,2019,2019-07-03 00:25,14.0,2,1,30.5060962486308,-84.0914827861967,US HIGHWAY 90 (STATE ROAD 10),,BAUM ROAD,POINT (-84.09148278619671 30.5060962486308)
14376,85180829,2019,2019-08-30 12:40,14.0,2,5,30.5807731266667,-84.3585198207599,OLD BAINBRIDGE RD,,ORCHARD POND PKWY,POINT (-84.35851982075989 30.5807731266667)
14377,87845404,2019,2019-03-24 22:21,14.0,2,2,30.497181,-84.246376,CAPITAL CIR NE,,VILLAGE GREEN WAY,POINT (-84.246376 30.497181)
14378,89141913,2019,2019-06-20 08:20,14.0,2,6,30.467733,-84.285526,N MONROE ST,,N M L KING JR BLVD,POINT (-84.285526 30.467733)
14379,89141524,2019,2019-06-04 09:40,14.0,2,2,30.470468,-84.29244,MONTICELLO DR,,BOONE BLVD,POINT (-84.29244 30.470468)
14380,89141525,2019,2019-06-04 12:03,14.0,2,2,30.465435,-84.302586,JOYNER DR,,OLD BAINBRIDGE RD,POINT (-84.30258600000001 30.465435)
14381,89141526,2019,2019-06-04 12:33,14.0,2,3,30.426256,-84.280782,S MONROE ST,1622,,POINT (-84.280782 30.426256)
14382,89141528,2019,2019-06-04 13:40,14.0,2,2,30.504745,-84.24989,KILLEARN CENTER BLVD,,,POINT (-84.24988999999999 30.504745)
14383,89141529,2019,2019-06-04 13:05,14.0,2,2,30.474804,-84.234986,CARE DR,,CAPITAL CIR NE,POINT (-84.23498600000001 30.474804)
14384,89141470,2019,2019-06-01 16:31,14.0,2,2,30.444768,-84.289582,W TENNESSEE ST,,N MACOMB ST,POINT (-84.289582 30.444768)
14385,89141521,2019,2019-06-04 09:00,14.0,2,4,30.500978,-84.252718,RAMP FROM I-10 E TO SR-61 S,,THOMASVILLE RD,POINT (-84.252718 30.500978)
14386,89141522,2019,2019-06-04 08:27,14.0,2,3,30.444858,-84.280664,N MONROE ST,,E TENNESSEE ST,POINT (-84.280664 30.444858)
14387,89141523,2019,2019-06-04 10:04,14.0,2,2,30.442417,-84.288492,N MACOMB ST,,PALM CT,POINT (-84.28849200000001 30.442417)
14388,89141460,2019,2019-06-01 10:42,14.0,2,5,30.511889,-84.245127,THOMASVILLE RD,,KILLARNEY WAY,POINT (-84.245127 30.511889)
14389,89141462,2019,2019-06-01 12:15,14.0,2,2,30.475426,-84.296448,N MONROE ST,,,POINT (-84.296448 30.475426)
14390,89144901,2019,2019-10-12 13:46,14.0,2,2,30.505053,-84.229939,OLSON RD,,RAYMOND DIEHL RD,POINT (-84.229939 30.505053)
14391,89141463,2019,2019-06-01 12:44,14.0,2,2,30.473648,-84.344721,HARTSFIELD RD,,N MISSION RD,POINT (-84.34472100000001 30.473648)
14392,89141464,2019,2019-06-01 12:52,14.0,2,3,30.481616,-84.344544,N MISSION RD,,GEARHART RD,POINT (-84.344544 30.481616)
14393,89141466,2019,2019-06-01 09:33,14.0,2,2,30.427083,-84.232647,APALACHEE PKWY,,RICHVIEW RD,POINT (-84.232647 30.427083)
14394,88109695,2019,2019-06-01 18:30,14.0,2,2,30.40486883757,-84.1098798611576,GOODWIN DRIVE,,W W KELLY ROAD,POINT (-84.10987986115759 30.40486883757)
14395,88109728,2019,2019-10-08 17:35,14.0,2,2,30.3324556689214,-84.251619054302,STATE ROAD 363,,RHODES CEMETARY ROAD,POINT (-84.251619054302 30.3324556689214)
14396,88060361,2019,2019-06-04 16:50,14.0,2,2,30.4944361217586,-84.1726570934257,EB SR 8 (I-10) MM 207,,MM 209,POINT (-84.1726570934257 30.4944361217586)
14397,88060362,2019,2019-06-06 20:00,14.0,2,3,30.3938370272724,-84.2966356202411,510 LONG PINE DRIVE,,BIG PINE ROAD,POINT (-84.2966356202411 30.3938370272724)
14398,89141755,2019,2019-06-09 22:00,14.0,2,3,30.426701,-84.30197,GAMBLE ST,,STUCKEY AVE,POINT (-84.30197 30.426701)
14399,89141765,2019,2019-06-14 11:38,14.0,3,3,30.492817,-84.243503,CAPITAL CIR NE,,EASTGATE WAY,POINT (-84.243503 30.492817)
14400,89141766,2019,2019-06-14 12:20,14.0,2,2,30.507768,-84.249572,THOMASVILLE RD,,MACLAY COMMERCE DR,POINT (-84.249572 30.507768)
14401,89142090,2019,2019-06-28 08:06,14.0,2,2,30.468862,-84.230769,CAPITAL CIR NE,,MICCOSUKEE RD,POINT (-84.230769 30.468862)
14402,89142099,2019,2019-06-28 15:40,14.0,2,2,30.464378,-84.27045,THOMASVILLE RD,,GLENVIEW DR,POINT (-84.27045 30.464378)
14403,88060364,2019,2019-06-12 15:40,14.0,2,3,30.4110941838948,-84.2350481841776,SB SR 261 (CAPITAL CIRCLE SE),,ORANGE AVENUE,POINT (-84.2350481841776 30.4110941838948)
14404,89142102,2019,2019-06-28 18:35,14.0,2,2,30.429125,-84.226686,CAPITAL CIR SE,,APALACHEE PKWY,POINT (-84.226686 30.429125)
14405,89142107,2019,2019-06-29 01:27,14.0,2,3,30.445008,-84.293995,N DEWEY ST,,W TENNESSEE ST,POINT (-84.293995 30.445008)
14406,89142159,2019,2019-06-26 07:56,14.0,2,2,30.460583,-84.226843,MAHAN DR,,CAPITAL CIR NE,POINT (-84.226843 30.460583)
14407,89142160,2019,2019-07-01 13:04,14.0,2,2,30.460035,-84.228363,MAHAN DR,,CAPITAL CIR NE,POINT (-84.228363 30.460035)
14408,88027222,2019,2019-06-09 14:00,14.0,2,4,30.49811,-84.20139,INTERSTATE 10 (STATE ROAD 8) EB 206 MM,,US HIGWAY 90 (STATE ROAD 10),POINT (-84.20139 30.49811)
14409,88027223,2019,2019-06-12 06:05,14.0,1,1,30.4788457955303,-84.325041724855,INTERSTATE 10 (STATE ROAD 8)  WB 197 MM,,STATE ROAD 263 (CAPITAL CIRCLE NW),POINT (-84.325041724855 30.4788457955303)
14410,88027224,2019,2019-06-17 11:15,14.0,2,2,30.5570191801453,-84.2205082597957,US HIGHWAY 319 (STATE ROAD 61) NB,,LOMA FARMS ROAD,POINT (-84.22050825979569 30.5570191801453)
14411,89141659,2019,2019-06-11 08:01,14.0,2,3,30.438225,-84.279598,APALACHEE PKWY,,CALHOUN ST S,POINT (-84.27959799999999 30.438225)
14412,89141666,2019,2019-06-10 13:16,14.0,2,2,30.403788,-84.283044,S ADAMS ST,,BRAGG DR,POINT (-84.283044 30.403788)
14413,89141667,2019,2019-06-10 11:04,14.0,2,2,30.42549,-84.302411,MCCASKILL AVE,,LAKE BRADFORD RD,POINT (-84.30241100000001 30.42549)
14416,87843545,2019,2019-01-11 10:28,14.0,2,2,30.456369,-84.305984,ALABAMA ST,,CALLOWAY ST,POINT (-84.305984 30.456369)
14419,87843716,2019,2019-01-18 13:20,14.0,2,3,30.442648,-84.306462,STADIUM DR,,SPIRIT WAY,POINT (-84.306462 30.442648)
14420,87843718,2019,2019-01-18 13:00,14.0,2,1,30.447957,-84.318064,W TENNESSEE ST,,OCALA RD,POINT (-84.31806400000001 30.447957)
14421,87843719,2019,2019-01-18 14:41,14.0,2,2,30.422709,-84.28204,S ADAMS ST,,YOUNG ST,POINT (-84.28203999999999 30.422709)
14423,87843721,2019,2019-01-18 14:09,14.0,2,2,30.448408,-84.317374,W TENNESSEE ST,,OCALA RD,POINT (-84.317374 30.448408)
14424,87843723,2019,2019-01-18 13:12,14.0,2,2,30.444688,-84.294229,W TENNESSEE ST,,N DEWEY ST,POINT (-84.294229 30.444688)
14425,87843725,2019,2019-01-18 14:59,14.0,2,2,30.412613,-84.263561,E ORANGE AVE,,JIM LEE RD,POINT (-84.263561 30.412613)
14426,89298161,2019,2019-10-09 14:44,14.0,2,2,30.525165,-84.36306,OLD BAINBRIDGE RD,,CAPITAL CIR NW,POINT (-84.36306 30.525165)
14427,89298162,2019,2019-10-09 15:14,14.0,2,8,30.447329,-84.263267,E TENNESSEE ST,,N MAGNOLIA DR,POINT (-84.263267 30.447329)
14428,88047550,2019,2019-06-26 08:00,14.0,2,2,30.50119,-84.25201,INTERSTATE 10 EB MM 203,,STATE ROAD 61,POINT (-84.25201 30.50119)
14429,89298145,2019,2019-10-03 08:05,14.0,2,2,30.548249,-84.272697,OX BOTTOM MANOR DR,,OX BOTTOM RD,POINT (-84.27269699999999 30.548249)
14430,89298140,2019,2019-10-08 07:02,14.0,2,2,30.425408,-84.179857,APALACHEE PKWY,,MT SINAI RD,POINT (-84.179857 30.425408)
14431,89141168,2019,2019-05-17 18:09,14.0,2,2,30.427421,-84.22844,APALACHEE PKWY,,KINGS DR,POINT (-84.22844000000001 30.427421)
14432,89141173,2019,2019-05-17 23:18,14.0,2,6,30.435473,-84.284349,S BRONOUGH ST,,W GAINES ST,POINT (-84.28434900000001 30.435473)
14433,89141291,2019,2019-05-24 08:19,14.0,2,2,30.437903,-84.270388,APALACHEE PKWY,,MYERS PARK DR,POINT (-84.270388 30.437903)
14434,89141292,2019,2019-05-24 08:20,14.0,2,2,30.412842,-84.245845,OAK HAMMOCK LN,,OAK HAMMOCK CT,POINT (-84.245845 30.412842)
14435,89141294,2019,2019-05-24 11:20,14.0,2,3,30.418134,-84.348104,W ORANGE AVE,,CAPITAL CIR SW,POINT (-84.34810400000001 30.418134)
14436,87844850,2019,2019-03-01 14:43,14.0,2,2,30.449171,-84.312548,W TENNESSEE ST,,BUENA VISTA DR,POINT (-84.31254800000001 30.449171)
14437,89143659,2019,2019-08-31 21:30,14.0,3,6,30.455777,-84.344066,W TENNESSEE ST,,BLOUNTSTOWN ST,POINT (-84.344066 30.455777)
14438,89143662,2019,2019-08-31 21:17,14.0,3,4,30.474796,-84.295163,N MONROE ST,,SPOONWOOD DR,POINT (-84.295163 30.474796)
14439,89143700,2019,2019-09-02 18:59,14.0,2,4,30.435456,-84.290166,W GAINES ST,,RAILROAD AVE,POINT (-84.290166 30.435456)
14440,89143701,2019,2019-09-02 16:07,14.0,2,3,30.397702,-84.281635,RIDGE RD,,CRAWFORDVILLE RD,POINT (-84.28163499999999 30.397702)
14441,89143670,2019,2019-08-31 17:16,14.0,3,3,30.445708,-84.297455,W TENNESSEE ST,,N WOODWARD AVE,POINT (-84.297455 30.445708)
14442,89143703,2019,2019-09-02 19:46,14.0,2,2,30.448998,-84.306535,W TENNESSEE ST,,STADIUM DR,POINT (-84.306535 30.448998)
14443,87845405,2019,2019-03-25 18:02,14.0,2,1,30.46331,-84.313944,W THARPE ST,1709,,POINT (-84.31394400000001 30.46331)
14444,89140863,2019,2019-05-05 18:54,14.0,2,2,30.482625,-84.309291,N MONROE ST,,MONROE ST,POINT (-84.309291 30.482625)
14445,89143648,2019,2019-08-31 17:00,14.0,2,2,30.456303,-84.345078,W TENNESSEE ST,,BLOUNTSTOWN ST,POINT (-84.345078 30.456303)
14446,89297866,2019,2019-08-20 13:03,14.0,2,2,30.434995,-84.35304,CAPITAL CIR SW,,W PENSACOLA ST,POINT (-84.35303999999999 30.434995)
14447,89297868,2019,2019-08-20 13:45,14.0,2,2,30.469545,-84.362189,NORTHWEST PSGE,,HARTSFIELD RD,POINT (-84.362189 30.469545)
14448,89297869,2019,2019-08-20 14:05,14.0,2,2,30.560581,-84.218882,THOMASVILLE RD,6668,,POINT (-84.21888199999999 30.560581)
14449,89297871,2019,2019-08-20 17:32,14.0,2,3,30.50708,-84.066322,JEFFERSON RD S,,ROALDE RD,POINT (-84.066322 30.50708)
14450,89298141,2019,2019-10-08 07:10,14.0,2,2,30.435212,-84.35255,W PENSACOLA ST,,CAPITAL CIR SW,POINT (-84.35254999999999 30.435212)
14451,89298143,2019,2019-10-08 12:24,14.0,2,2,30.426069,-84.18311,APALACHEE PKWY,,HAMPTON CREEK DR,POINT (-84.18311 30.426069)
14452,89297843,2019,2019-08-15 03:48,14.0,2,2,30.439901,-84.341553,W PENSACOLA ST,,PROGRESS DR,POINT (-84.341553 30.439901)
14453,89297844,2019,2019-08-14 16:20,14.0,2,2,30.375725,-84.270194,WOODVILLE HWY,,CAPITAL CIR SE,POINT (-84.270194 30.375725)
14454,89297846,2019,2019-08-15 17:50,14.0,2,2,30.531847,-84.361564,N MONROE ST,,OLD BAINBRIDGE RD,POINT (-84.361564 30.531847)
14455,89297455,2019,2019-06-27 06:52,14.0,2,2,30.580939,-84.225552,DEER LK S,,KINHEGA DR,POINT (-84.22555199999999 30.580939)
14456,89297533,2019,2019-06-14 18:14,14.0,2,4,30.563435,-84.219607,BANNERMAN RD,,BEECH RIDGE TRL,POINT (-84.219607 30.563435)
14458,87843672,2019,2019-01-16 17:45,14.0,2,4,30.440414,-84.314544,W PENSACOLA ST,,N LIPONA RD,POINT (-84.314544 30.440414)
14459,89142109,2019,2019-06-29 01:10,14.0,2,2,30.501072,-84.252216,RAYMOND DIEHL RD,,THOMASVILLE RD,POINT (-84.252216 30.501072)
14460,88060335,2019,2019-03-15 06:20,14.0,2,2,30.3517250465924,-84.3075505915723,NORTHBOUND STATE ROAD 61 WAKULLA SPRINGS ROAD,,STATE ROAD 369 (CRAWFORDVILLE ROAD),POINT (-84.30755059157229 30.3517250465924)
14461,87845303,2019,2019-03-18 13:25,14.0,2,2,30.470309,-84.23101,CAPITAL CIR NE,,MICCOSUKEE RD,POINT (-84.23101 30.470309)
14462,87845345,2019,2019-03-21 08:30,14.0,2,2,30.492409,-84.243293,CAPITAL CIR NE,,REMINGTON GREEN LN N,POINT (-84.24329299999999 30.492409)
14463,89142002,2019,2019-06-24 13:45,14.0,2,2,30.47444,-84.294779,N MONROE ST,,SPOONWOOD DR,POINT (-84.29477900000001 30.47444)
14464,89142016,2019,2019-06-24 07:54,14.0,2,2,30.50223,-84.252141,THOMASVILLE RD,,W I-10,POINT (-84.25214099999999 30.50223)
14465,89143326,2019,2019-08-21 14:41,14.0,2,2,30.471396,-84.29156,MONTICELLO DR,,N MONROE ST,POINT (-84.29156 30.471396)
14466,89143327,2019,2019-08-21 17:27,14.0,2,2,30.493626,-84.244298,CAPITAL CIR NE,,EASTGATE WAY,POINT (-84.244298 30.493626)
14467,89143329,2019,2019-08-21 18:50,14.0,2,2,30.453224,-84.248558,N BLAIR STONE RD,,MAHAN DR,POINT (-84.248558 30.453224)
14468,89143829,2019,2019-09-07 03:00,14.0,2,3,30.44156,-84.320694,UNNAMED RD,,,POINT (-84.320694 30.44156)
14469,89144066,2019,2019-09-15 00:06,14.0,2,4,30.459898,-84.281026,N MONROE ST,,LAKE ELLA DR,POINT (-84.281026 30.459898)
14470,89144196,2019,2019-09-19 21:29,14.0,2,2,30.441157,-84.3198,W PENSACOLA ST,2026,,POINT (-84.3198 30.441157)
14472,89144734,2019,2019-10-06 18:10,14.0,3,3,30.482336,-84.308612,N MONROE ST,,MONROE ST,POINT (-84.308612 30.482336)
14473,89144736,2019,2019-10-07 23:50,14.0,2,3,30.465335,-84.344044,W THARPE ST,,N MISSION RD,POINT (-84.344044 30.465335)
14474,89144737,2019,2019-10-06 02:48,14.0,3,8,30.444735,-84.290825,N COPELAND ST,,W TENNESSEE ST,POINT (-84.290825 30.444735)
14475,89144729,2019,2019-10-06 01:53,14.0,2,6,30.448722,-84.316976,W TENNESSEE ST,,OCALA RD,POINT (-84.316976 30.448722)
14476,89144730,2019,2019-10-06 01:17,14.0,4,3,30.437961,-84.318565,BELLE VUE WAY,,S AUSLEY RD,POINT (-84.31856500000001 30.437961)
