report_number,crash_year,crash_date_time,report_date_time,investigating_agency_rep_num,form_type,total_number_of_vehicles,total_number_of_persons,total_number_of_narratives,county_code,city_code,county_name,city_name,rural_or_urban,notified_time,dispatched_time,arrived_time,cleared_time,completed_flag,reason_not_completed,notified_by,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,type_of_shoulder,type_of_intersection,photos_taken_flag,light_condition,weather_condition,road_surface_condition,school_bus_related_code,type_of_impact,first_harmful_event,harmful_event_location,interchange_flag,junction_flag,road_circumstances_1,road_circumstances_2,road_circumstances_3,environment_circumstances_1,environment_circumstances_2,environment_circumstances_3,work_zone_related_flag,location_within_zone,type_of_work_zone,workers_present,law_enforcement_present,investigator_id,investigator_rank,investigator_first_name,investigator_middle_name,investigator_last_name,investigator_suffix,investigating_agency_name,investigating_agency_type,load_dt90838674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,1,1,88,1,1,1,1,32,2,88,1,1,,,1,,,1,,,,,217,DEPUTY,,,EPLHASE,,LEON COUNTY,2,2011-03-08 15:54
83461166,2012,2012-10-10 00:00,2012-10-10 09:23,120196056,L,1,2,0,13,50,LEON,Tallahassee,2,2012-10-10 07:02,2012-10-10 07:05,2012-10-10 07:20,2012-10-10 07:54,2,,1,E. MAGNOLIA DR.,,,,0,,W,E. MAGNOLIA DR / PONTIAC DR,,5,1,77,,2,4,1,1,4,10,1,1,77,1,,,2,77,,1,,,,,,Dep.,,,,,Leon County Sheriff's Office,3,2012-10-20 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591600,2012,2012-10-24 06:30,2012-10-24 00:00,12028697,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-10-24 08:10,2012-10-24 08:21,2012-10-24 08:34,2012-10-24 10:00,2,,2,STONE RD,,,,75,,W,RAMBLEWOOD CT,,5,2,1,1,5,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,579,OFC.,,,,,TALLAHASSEE,2,2012-10-25 15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591535,2012,2012-10-19 15:45,2012-10-23 00:00,12028301,U,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-10-19 15:54,2012-10-19 16:39,2012-10-19 16:57,2012-10-19 17:24,2,,2,CAPITAL CIR SW,5032,,,,,,PARKING LOT,,5,1,1,1,1,1,1,1,3,10,8,1,1,1,,,1,,,1,,,,,509,INVESTIGATOR,,,,,TALLAHASSEE,2,2012-10-25 15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83460285,2012,2012-10-14 00:00,2012-10-14 01:47,120198572,L,1,2,0,13,0,LEON,UNINCORPORATED,2,2012-10-14 00:04,2012-10-14 00:14,2012-10-14 00:14,2012-10-14 01:20,2,,2,BANNERMAN  RD,,,,50,,E,QUAIL COMMON TRL,,5,2,1,,5,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,11417,Dep.,,,,,Leon County Sheriff's Office,3,2012-10-23 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591496,2012,2012-10-18 17:40,2012-10-18 00:00,12028200,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-10-18 17:41,2012-10-18 17:42,2012-10-18 17:42,2012-10-18 19:18,2,,2,N MONROE ST,1700,,,,,,ML KING BLVD N,,2,3,2,1,1,2,1,1,77,10,1,1,1,1,,,1,,,1,,,,,719,OFFICER,,,,,TALLAHASSEE,2,2012-10-20 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591699,2012,2012-10-26 13:29,2012-10-26 00:00,12028912,S,1,3,0,13,50,LEON,TALLAHASSEE,2,2012-10-26 13:29,,,,,,2,WOODGATE WAY,,,,,,,THOMASVILLE RD,,5,,3,1,1,1,1,,77,10,1,,1,1,,,,,,1,,,,,635,OFFICER,,,,,TALLAHASSEE,2,2012-10-29 14:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591717,2012,2012-10-29 09:47,2012-10-29 00:00,12029193,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-10-29 09:47,2012-10-29 09:48,2012-10-29 09:49,2012-10-29 10:30,2,,2,SHARER RD,,,,5,,E,N MONROE ST,,5,3,3,1,1,1,1,1,77,10,1,1,3,1,,,1,,,1,,,,,703,OFFICER,,,,,TALLAHASSEE,2,2012-10-31 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83461111,2012,2012-10-24 00:00,2012-10-25 21:57,120205296,L,1,2,0,13,0,LEON,TALLAHASSEE,1,2012-10-24 20:30,2012-10-24 20:33,2012-10-24 20:38,2012-10-24 20:55,2,,1,COREY WOOD  CIRCLE,,,,0,,N,NINA HILLS DR,,4,2,3,,4,1,1,1,77,10,2,1,2,1,,,1,,,1,,,,,,Dep.,,,,,Leon County Sheriff's Office,3,2012-11-05 15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83461116,2012,2012-11-02 00:00,2012-11-02 12:47,120210717,L,1,2,0,13,0,LEON,UNINCORPORATED,1,2012-11-02 11:05,2012-11-02 11:10,2012-11-02 11:10,2012-11-02 11:27,2,,1,THOMASVILLE ROAD,6753,,,0,,N,,,9,3,3,,1,1,1,1,77,10,8,1,1,1,1,1,1,1,1,1,,,,,,Dep.,,,,,Leon County Sheriff's Office,3,2012-11-12 15:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631016,2012,2012-11-10 14:15,2012-11-10 00:00,12030369,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-11-10 14:15,2012-11-10 14:15,2012-11-10 14:15,2012-11-10 15:15,1,HIT AND RUN,2,S MONROE ST,,,,100,,S,PUTMAN DR,,3,1,77,2,1,1,1,1,3,10,1,1,1,1,,,1,,,1,,,,,653,OFFICER,,,,,TALLAHASSEE,2,2012-11-17 15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83591947,2012,2012-11-08 15:31,2012-11-08 00:00,12030137,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-11-08 15:31,2012-11-08 15:34,2012-11-08 15:40,2012-11-08 16:45,2,,2,S MAGNOLIA DR,,,,,,,GOVERNERS SQUARE BLVD,,3,3,2,1,1,1,1,1,4,10,1,1,2,1,,,1,,,1,,,,,772,PATROL OFFICER,,,,,TALLAHASSEE,2,2012-11-10 14:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631493,2012,2012-12-03 08:40,2012-12-06 00:00,12032420,U,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-03 15:20,2012-12-03 15:44,2012-12-03 15:46,2012-12-03 16:00,2,,2,N MAGNOLIA DR,,,,5,,S,MICCOSUKEE RD,,4,3,2,1,1,1,1,1,77,10,1,2,2,1,,,1,,,1,,,,,509,INVESTIGATOR,,,,,TALLAHASSEE,2,2012-12-14 15:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631296,2012,2012-11-25 20:14,2012-11-25 00:00,12031597,L,1,5,0,13,50,LEON,TALLAHASSEE,2,2012-11-25 20:14,2012-11-25 20:18,2012-11-25 20:48,2012-11-25 21:28,2,,2,BELLE VUE WAY,,,,,,,LOVELACE DR,,5,3,3,1,4,1,1,1,3,10,1,1,1,1,,,1,,,1,,,,,688,OFC,,,,,TALLAHASSEE,2,2012-11-27 15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83460309,2012,2012-11-18 00:00,2012-11-27 08:54,120220048,L,1,2,0,13,50,LEON,Tallahassee,2,2012-11-18 19:45,2012-11-18 19:51,2012-11-18 20:00,2012-11-18 20:50,,UNKNOWN IF IMPACT ACTUALLY OCCURRED,1,AUTUMN WOODS WAY,4501,,,0,,N,,,5,2,1,,2,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,10351,Dep.,,,,,Leon County Sheriff's Office,3,2012-12-07 15:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631463,2012,2012-12-02 15:23,2012-12-02 00:00,12032313,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-02 15:23,2012-12-02 15:24,2012-12-02 15:26,2012-12-02 16:15,2,,2,N MONROE ST,1700,,,,,,,,9,1,1,1,1,1,1,1,3,10,8,1,1,1,,,1,,,1,,,,,621,OFFICER,,,,,TALLAHASSEE,2,2012-12-04 15:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631627,2012,2012-12-10 15:00,2012-12-10 00:00,12033110,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-10 15:52,2012-12-10 17:57,2012-12-10 16:12,2012-12-10 00:25,1,HIT AND RUN,2,HERMITAGE BLVD,,,,20,,W,CAPITAL CIR NE,,2,1,2,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,546,OFFICER,,,,,TALLAHASSEE,2,2012-12-13 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631579,2012,2012-12-07 14:20,2012-12-07 00:00,12032819,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-07 17:03,2012-12-07 17:18,2012-12-07 17:31,2012-12-07 18:14,2,,2,CENTRE POINTE BLVD,1900,,,,,,,,9,3,1,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,733,PATROL OFFICER,,,,,TALLAHASSEE,2,2012-12-10 15:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631610,2012,2012-12-10 06:53,2012-12-10 00:00,12033027,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-10 06:53,2012-12-10 06:55,2012-12-10 06:58,2012-12-10 07:30,2,,2,GEORGE ST,,,,,,,CALHOUN ST N,,5,1,2,1,3,2,1,1,77,10,1,1,1,1,,,1,,,1,,,,,587,OFFICER,,,,,TALLAHASSEE,2,2012-12-11 15:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83461277,2012,2012-11-23 00:00,2012-11-28 07:52,120222285,L,1,2,0,13,0,LEON,UNINCORPORATED,1,2012-11-23 22:27,2012-11-23 22:29,2012-11-23 22:34,2012-11-23 22:56,1,HIT AND RUN,2,WHITE ROCK LANE,5680,,,0,,N,,,5,2,1,,5,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,10351,Dep.,,,,,Leon County Sheriff's Office,3,2012-12-10 15:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83461013,2012,2012-11-05 00:00,2012-11-29 13:36,120212589,L,1,2,0,13,0,LEON,UNINCORPORATED,2,2012-11-05 23:36,2012-11-05 23:38,2012-11-05 23:41,2012-11-05 00:57,,HIT AND RUN,2,BARINEAU RD,,,,0,,N,ELLENMANN LN,,4,2,1,,5,3,2,1,77,10,1,1,1,1,,,1,,,1,,,,,11019,Dep.,,,,,Leon County Sheriff's Office,3,2012-12-13 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631865,2012,2012-12-21 15:29,2012-12-21 00:00,12034069,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-21 15:29,2012-12-21 15:32,2012-12-21 15:45,2012-12-21 16:15,2,,2,W CALL ST,,,,,,,CHAPEL DR,,5,3,3,1,1,1,1,1,3,10,1,1,2,1,,,1,,,1,,,,,789,OFFICER,,,,,TALLAHASSEE,2,2012-12-22 15:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631874,2012,2012-12-21 20:14,2012-12-21 00:00,12034098,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-12-21 20:14,2012-12-21 20:15,2012-12-21 20:16,2012-12-21 20:25,2,,2,N BRONOUGH ST,,,,,,,4TH AVE,,3,3,2,1,4,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,540,OFFICER,,,,,TALLAHASSEE,2,2012-12-28 15:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83631955,2012,2012-12-29 18:01,2012-12-29 00:00,12034737,L,1,4,0,13,50,LEON,TALLAHASSEE,2,2012-12-29 18:01,2012-12-29 18:02,2012-12-29 18:13,2012-12-29 19:00,2,,2,S MAGNOLIA DR,,,,,,,E LAFAYETTE ST,,5,1,2,1,4,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,788,OFFICER,,,,,TALLAHASSEE,2,2013-01-01 14:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83461953,2012,2012-12-27 00:00,2012-12-27 22:18,120241569,L,1,1,0,13,50,LEON,Tallahassee,1,2012-12-27 14:53,2012-12-27 15:00,2012-12-27 15:15,2012-12-27 15:30,2,,1,BOBBIN BROOK RD,,,,0,,N,BOBBIN BROOK LN,,5,2,3,,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,10548,Dep.,,,,,Leon County Sheriff's Office,3,2013-01-07 13:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83590773,2012,2012-09-19 19:50,2013-01-23 00:00,12025363,U,1,2,0,13,50,LEON,TALLAHASSEE,2,2012-09-19 19:52,2012-09-19 19:53,2012-09-19 19:55,2012-09-19 22:45,2,,2,APALACHEE PKWY,2997,,,150,,W,KINGS DR,,2,3,1,2,4,2,1,1,3,10,1,1,1,1,,,1,,,1,,,,,627,INV.,,,,,TALLAHASSEE,2,2013-01-26 13:02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632041,2013,2013-01-04 13:08,2013-01-04 00:00,13000313,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-04 13:08,2013-01-04 13:11,2013-01-04 13:23,2013-01-04 14:30,2,,2,CAPITAL CIR,,,,,,,MILL CREEK LN,,2,3,3,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,729,OFFICER,,,,,TALLAHASSEE,2,2013-01-05 13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632102,2013,2013-01-08 12:25,2013-01-08 00:00,13000661,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2013-01-08 12:25,2013-01-08 12:27,2013-01-08 12:33,2013-01-08 13:00,2,,2,N MONROE ST,1700,,,,,,,,9,3,1,1,1,1,1,1,3,10,8,1,1,1,,,1,,,1,,,,,789,OFFICER,,,,,TALLAHASSEE,2,2013-01-11 13:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632140,2013,2013-01-09 17:30,2013-01-09 00:00,13000774,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-09 18:14,2013-01-09 18:15,2013-01-09 18:28,2013-01-09 19:03,2,,2,JACKSON BLUFF RD,,,,,,,HENDRY DR,,3,3,3,1,1,1,1,1,3,10,1,1,2,1,,,1,,,1,,,,,772,PATROL OFFICER,,,,,TALLAHASSEE,2,2013-01-10 13:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632160,2013,2013-01-10 16:02,2013-01-10 00:00,13000845,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-10 16:02,2013-01-10 16:02,2013-01-10 16:13,2013-01-10 16:58,2,,2,MICCOSUKEE RD,,,,,,,COOMBS DR,,4,3,3,1,1,1,1,1,3,10,1,1,2,1,,,1,,,1,,,,,772,PATROL OFFICER,,,,,TALLAHASSEE,2,2013-01-12 12:58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632187,2013,2013-01-11 14:38,2013-01-11 00:00,13000937,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-11 14:38,2013-01-11 14:40,2013-01-11 14:43,2013-01-11 14:59,2,,2,W TENNESSEE ST,5010,,,,,,,,9,3,1,1,1,2,1,1,77,10,8,1,1,1,,,1,,,1,,,,,641,OFFICER,,,,,TALLAHASSEE,2,2013-01-13 12:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83168859,2013,2013-01-12 02:41,2013-01-15 07:49,FHPH13OFF000923,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-12 02:41,2013-01-12 02:41,2013-01-12 02:41,2013-01-12 03:12,2,,2,PARKING LOT OF MCDONALDS/CIRCLE K,,30.43383333,-84.3015,100,,E,LAKE BRADFORD RD,,9,3,1,1,4,1,1,1,77,10,8,1,1,1,,,1,,,1,,,,,1020,CORPORAL,,,,,FLORIDA HIGHWAY PATROL,1,2013-01-16 13:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632228,2013,2013-01-14 07:40,2013-01-14 00:00,13001174,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-14 07:41,2013-01-14 07:41,2013-01-14 07:43,2013-01-14 08:15,2,,2,W CALL ST,,,,,,,STADIUM DR,,5,3,2,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,646,OFFICER,,,,,TALLAHASSEE,2,2013-01-15 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632207,2013,2013-01-12 13:42,2013-01-12 00:00,13001035,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2013-01-12 13:42,2013-01-12 13:43,2013-01-12 13:44,2013-01-12 15:20,2,,2,RAILROAD AVE,,,,,,,GAINES ST,,4,3,2,1,1,2,1,1,77,10,1,1,1,4,9,,1,,,2,4,77,1,1,558,OFC.,,,,,TALLAHASSEE,2,2013-01-14 13:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632378,2013,2013-01-21 02:12,2013-01-21 00:00,13001816,L,1,4,0,13,50,LEON,TALLAHASSEE,2,2013-01-21 02:12,2013-01-21 02:12,2013-01-21 02:16,2013-01-21 02:55,2,,2,GAINES ST,522,,,100,,W,RAILROAD AVE,,5,3,1,1,4,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,755,PATROL OFFICER,,,,,TALLAHASSEE,2,2013-01-22 13:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632556,2013,2013-01-30 18:39,2013-01-30 00:00,13002712,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-30 18:39,2013-01-30 18:42,2013-01-30 18:42,2013-01-30 19:30,2,,2,APPLEYARD DR N,,,,100,,S,W TENNESSEE ST,,2,1,1,1,2,3,2,1,77,10,1,1,1,1,,,1,,,1,,,,,377,OFC,,,,,TALLAHASSEE,2,2013-02-01 13:08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632549,2013,2013-01-30 07:32,2013-01-30 00:00,13002652,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-01-30 07:32,2013-01-30 07:37,2013-01-30 07:42,2013-01-30 08:10,1,HIT & RUN,2,REESE PARK LN,,,,,,,E PARK AVE,,5,3,2,1,3,2,1,1,77,10,1,1,2,1,,,1,,,1,,,,,510,OFFICER,,,,,TALLAHASSEE,2,2013-01-31 13:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632524,2013,2013-01-28 15:37,2013-01-28 00:00,13002507,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2013-01-28 15:37,2013-01-28 15:37,2013-01-28 15:39,2013-01-28 16:47,2,,2,MONROE ST,2525,,,300,,N,ORANGE AVE,,5,3,1,1,1,1,1,1,77,10,1,2,15,1,,,1,,,1,,,,,574,OFC,,,,,TALLAHASSEE,2,2013-01-30 13:13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632676,2013,2013-02-04 17:01,2013-02-04 00:00,13003191,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-02-04 17:01,2013-02-04 17:08,2013-02-04 17:08,2013-02-04 18:10,2,,2,LIPONA RD,,,,,,,JACKSON BLUFF,,3,3,2,1,1,1,1,1,77,10,1,2,2,1,,,1,,,1,,,,,576,OFFICER,,,,,TALLAHASSEE,2,2013-02-06 13:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632651,2013,2013-02-03 10:58,2013-02-03 00:00,13003079,L,1,6,0,13,50,LEON,TALLAHASSEE,2,2013-02-03 10:58,2013-02-03 10:59,2013-02-03 11:00,2013-02-03 11:37,2,,2,OLD BAINBRIDGE RD,1401,,,,,,,,9,2,1,1,1,1,1,1,77,10,8,1,1,1,,,1,,,1,,,,,789,OFFICER,,,,,TALLAHASSEE,2,2013-02-08 13:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632746,2013,2013-02-07 19:26,2013-02-07 00:00,13003484,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-02-07 19:26,2013-02-07 19:28,2013-02-07 19:31,2013-02-07 20:00,2,,2,W CALL ST,,,,25,,W,CONRADI ST,,5,3,3,1,4,1,2,1,3,10,1,1,3,1,,,1,,,1,,,,,338,OFFICER,,,,,TALLAHASSEE,2,2013-02-08 13:05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83462522,2013,2013-03-12 00:00,2013-03-31 06:48,130044905,U,1,2,0,13,50,LEON,Tallahassee,2,2013-03-12 06:37,2013-03-12 06:37,2013-03-12 06:37,2013-03-12 08:37,2,,2,WEST PENSACOLA ST.,,,,0,,N,ATKINSON DR,,5,3,3,2,5,2,2,1,3,10,1,1,18,1,,,2,,,1,,,,,10525,Dep.,,,,,Leon County Sheriff's Office,3,2013-04-06 12:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12746998,2013,2013-01-29 21:04,2013-01-29 00:00,13010279,L,0,3,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2013-01-29 21:05,2013-01-29 21:05,2013-01-29 21:07,2013-01-29 22:02,2,,1,COLLEGIATE LOOP,,,,1000,,N,COLLEGIATE LOOP AND TRADITIONS WAY,,77,3,3,1,4,1,1,1,77,10,2,88,1,1,,,1,,,1,,,,,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,,FLORIDA STATE UNIV POLICE,3,2013-02-16 19:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12747482,2013,2013-01-28 16:49,2013-01-28 00:00,13010261,L,1,2,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2013-01-28 16:49,2013-01-28 16:50,2013-01-28 16:57,2013-01-28 17:50,2,,2,WEST PENSACOLA ST,800 BLOCK,,,,,,,,9,1,1,1,1,1,1,1,3,10,1,1,1,1,,,1,,,1,,,,,462,OFC,MICHAEL,,PALUSZEK,,FLORIDA STATE UNIV POLICE,3,2013-02-16 19:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12747463,2013,2013-01-21 03:38,2013-01-21 00:00,13010190,L,1,2,0,13,40,LEON,FLORIDA STATE UNIVERSITY,2,2013-01-21 03:41,2013-01-21 03:41,2013-01-21 03:42,2013-01-21 04:50,2,,1,HULL DRIVE PARKING LOT,,,,,,,1169 HULL DRIVE,,9,3,1,1,4,1,1,1,77,10,8,1,1,1,,,1,,,1,,,,,454,OFFICER,CODY,,HARTLEY,,FLORIDA STATE UNIV POLICE,3,2013-02-16 19:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83632780,2013,2013-02-09 01:58,2013-02-09 00:00,13003613,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-02-09 01:58,2013-02-09 02:00,2013-02-09 02:05,2013-02-09 02:07,2,,2,TENNESSEE ST W,,,,,,,CALL ST,,2,1,1,1,4,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,333,OFFICER,,,,,CITY HALL,2,2013-02-15 13:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83886147,2013,2013-02-24 13:09,2013-02-24 00:00,13005020,L,1,2,0,13,50,LEON,TALLAHASSEE,2,2013-02-24 13:09,2013-02-24 13:32,2013-02-24 13:35,2013-02-24 14:35,2,,2,ARMISTEAD RD,,,,,,,WOODGATE WAY,,5,3,3,1,1,1,1,1,77,10,1,1,1,1,,,1,,,1,,,,,729,OFFICER,,,,,TALLAHASSEE,2,2013-02-25 12:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83886099,2013,2013-02-22 18:08,2013-02-22 00:00,13004872,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2013-02-22 18:08,2013-02-22 18:09,2013-02-22 18:11,2013-02-22 18:27,2,,2,W CALL ST,,,,230,,E,W TENNESSEE ST,,5,3,1,1,4,3,2,1,77,10,1,1,1,1,,,1,,,1,,,,,733,PATROL OFFICER,,,,,TALLAHASSEE,2,2013-02-24 12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83886097,2013,2013-02-22 17:06,2013-02-22 00:00,13004860,L,1,3,0,13,50,LEON,TALLAHASSEE,2,2013-02-22 17:06,2013-02-22 17:07,2013-02-22 17:08,2013-02-22 17:31,2,,2,S MAGNOLIA DR,,,,,,,GOVERNERS SQUARE,,4,3,2,1,1,3,2,1,77,10,1,2,2,1,,,1,,,1,,,,,744,OFFICER,,,,,TALLAHASSEE,2,2013-02-24 12:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
